id,time,sentiment,score
464946996873402_1015990065102423,2015-08-14T13:45:34+0000,Positive,98.6799
464946996873402_1015984278436335,2015-08-14T13:25:27+0000,Positive,64.2384
464946996873402_1015984101769686,2015-08-14T13:24:45+0000,Neutral,56.1812
464946996873402_1015983448436418,2015-08-14T13:23:17+0000,Positive,64.2384
464946996873402_1015975205103909,2015-08-14T12:59:56+0000,Positive,64.2384
464946996873402_1015974131770683,2015-08-14T12:57:06+0000,Positive,64.2384
464946996873402_1015925351775561,2015-08-14T10:43:06+0000,Negative,92.6508
464946996873402_1015923605109069,2015-08-14T10:36:34+0000,Negative,97.8236
464946996873402_1015915061776590,2015-08-14T10:10:53+0000,Negative,99.9978
464946996873402_1015910665110363,2015-08-14T09:58:12+0000,Neutral,50.0000
464946996873402_413966935459724,2015-08-14T09:35:01+0000,Positive,68.7689
464946996873402_1015861908448572,2015-08-14T08:01:55+0000,Neutral,50.0000
464946996873402_1015859985115431,2015-08-14T07:56:46+0000,Positive,64.5577
464946996873402_1015854611782635,2015-08-14T07:44:43+0000,Neutral,50.0000
464946996873402_1015854015116028,2015-08-14T07:43:37+0000,Neutral,50.0000
464946996873402_1015853708449392,2015-08-14T07:42:58+0000,Neutral,50.0000
464946996873402_1015840668450696,2015-08-14T07:22:48+0000,Neutral,59.8024
464946996873402_1015836445117785,2015-08-14T07:04:53+0000,Neutral,56.6257
464946996873402_1015835841784512,2015-08-14T07:02:30+0000,Negative,63.5541
464946996873402_1015835811784515,2015-08-14T07:02:25+0000,Negative,63.5541
464946996873402_1015835805117849,2015-08-14T07:02:21+0000,Negative,63.5541
464946996873402_1015835791784517,2015-08-14T07:02:18+0000,Negative,63.5541
464946996873402_1015835785117851,2015-08-14T07:02:14+0000,Negative,63.5541
464946996873402_1015835751784521,2015-08-14T07:01:53+0000,Negative,63.5541
464946996873402_1015835735117856,2015-08-14T07:01:50+0000,Negative,63.5541
464946996873402_1015835701784526,2015-08-14T07:01:41+0000,Negative,63.5541
464946996873402_1015835468451216,2015-08-14T07:00:48+0000,Neutral,56.6257
464946996873402_1015819178452845,2015-08-14T05:50:28+0000,Neutral,56.6257
464946996873402_708959639237262,2015-08-14T04:17:21+0000,Positive,87.9344
464946996873402_10153263995462886,2015-08-14T04:11:45+0000,Positive,82.8488
464946996873402_1015785465122883,2015-08-14T03:16:10+0000,Positive,82.8488
464946996873402_1015785428456220,2015-08-14T03:16:00+0000,Positive,82.8488
464946996873402_1015785405122889,2015-08-14T03:15:52+0000,Positive,82.8488
464946996873402_696968003767734,2015-08-14T02:24:25+0000,Neutral,51.5378
464946996873402_1015604428474320,2015-08-13T18:36:18+0000,Neutral,51.5378
464946996873402_1015591351808961,2015-08-13T18:04:42+0000,Neutral,57.8187
464946996873402_1015569021811194,2015-08-13T17:07:08+0000,Positive,90.7167
464946996873402_1015521888482574,2015-08-13T15:03:42+0000,Positive,95.7359
464946996873402_1015496501818446,2015-08-13T13:52:22+0000,Positive,95.7359
464946996873402_1015496378485125,2015-08-13T13:52:12+0000,Positive,95.7359
464946996873402_1015490831819013,2015-08-13T13:36:51+0000,Positive,95.7359
464946996873402_1015488758485887,2015-08-13T13:30:07+0000,Positive,95.7359
464946996873402_1015488671819229,2015-08-13T13:29:54+0000,Positive,95.7359
464946996873402_1015488641819232,2015-08-13T13:29:51+0000,Positive,95.7359
464946996873402_1015488561819240,2015-08-13T13:29:44+0000,Positive,95.7359
464946996873402_1015470351821061,2015-08-13T12:31:14+0000,Positive,95.7359
464946996873402_1015470315154398,2015-08-13T12:31:06+0000,Positive,95.7359
464946996873402_1015470271821069,2015-08-13T12:30:57+0000,Positive,95.7359
464946996873402_1015465251821571,2015-08-13T12:15:28+0000,Positive,95.7400
464946996873402_1015463905155039,2015-08-13T12:09:07+0000,Positive,95.7400
464946996873402_1015462695155160,2015-08-13T12:03:34+0000,Positive,95.7400
464946996873402_1015448998489863,2015-08-13T11:10:24+0000,Neutral,51.0082
464946996873402_1015439665157463,2015-08-13T10:44:58+0000,Positive,85.1838
464946996873402_881335305246826,2015-08-13T10:03:31+0000,Negative,98.3955
464946996873402_881334951913528,2015-08-13T10:01:22+0000,Negative,98.3955
464946996873402_1015420818492681,2015-08-13T09:35:17+0000,Negative,98.3955
464946996873402_10153544592737558,2015-08-13T09:21:18+0000,Neutral,50.0000
464946996873402_1015415031826593,2015-08-13T09:06:02+0000,Neutral,56.6257
464946996873402_1015402095161220,2015-08-13T08:03:02+0000,Negative,95.4413
464946996873402_1015401915161238,2015-08-13T08:01:55+0000,Neutral,52.7534
464946996873402_1015401588494604,2015-08-13T07:59:49+0000,Neutral,52.7534
464946996873402_1015401495161280,2015-08-13T07:59:18+0000,Negative,98.7348
464946996873402_1626622050949469,2015-08-13T07:53:12+0000,Positive,85.1571
464946996873402_1626622050949469,2015-08-13T07:53:12+0000,Positive,85.1571
464946996873402_1015399005161529,2015-08-13T07:47:44+0000,Neutral,53.0069
464946996873402_1015390015162428,2015-08-13T07:14:19+0000,Neutral,53.0069
464946996873402_1015390015162428,2015-08-13T07:14:19+0000,Neutral,53.0069
464946996873402_1015378781830218,2015-08-13T06:29:03+0000,Positive,79.7292
464946996873402_1140085552675359,2015-08-13T05:52:37+0000,Positive,98.2941
464946996873402_1015367125164717,2015-08-13T05:52:33+0000,Neutral,50.0000
464946996873402_1015366908498072,2015-08-13T05:51:24+0000,Neutral,50.0000
464946996873402_458915704281734,2015-08-13T05:49:21+0000,Positive,99.7185
464946996873402_495978843894390,2015-08-13T05:44:21+0000,Neutral,50.0000
464946996873402_1015357365165693,2015-08-13T05:07:10+0000,Neutral,50.0000
464946996873402_1015357345165695,2015-08-13T05:06:57+0000,Neutral,50.0000
464946996873402_1015356651832431,2015-08-13T05:02:55+0000,Neutral,50.0000
464946996873402_1015314581836638,2015-08-13T04:27:43+0000,Neutral,60.4593
464946996873402_1015313148503448,2015-08-13T04:20:17+0000,Neutral,60.4593
464946996873402_1015311331836963,2015-08-13T04:11:13+0000,Neutral,60.4593
464946996873402_1015311311836965,2015-08-13T04:11:06+0000,Neutral,60.4593
464946996873402_1015311291836967,2015-08-13T04:10:59+0000,Neutral,60.4593
464946996873402_1015305471837549,2015-08-13T03:46:55+0000,Neutral,60.4593
464946996873402_1015305285170901,2015-08-13T03:46:46+0000,Neutral,60.4593
464946996873402_1015302231837873,2015-08-13T03:33:22+0000,Neutral,60.4593
464946996873402_1015300861838010,2015-08-13T03:27:57+0000,Neutral,50.0000
464946996873402_1015298538504909,2015-08-13T03:21:42+0000,Neutral,50.0000
464946996873402_1015281681839928,2015-08-13T02:09:54+0000,Negative,76.1456
464946996873402_1015275518507211,2015-08-13T01:46:28+0000,Neutral,53.9237
464946996873402_1015275201840576,2015-08-13T01:45:11+0000,Negative,99.7796
464946996873402_1015076711860425,2015-08-12T16:06:00+0000,Negative,95.1455
464946996873402_1015069148527848,2015-08-12T15:47:07+0000,Neutral,57.0587
464946996873402_1015058548528908,2015-08-12T15:18:39+0000,Neutral,57.0587
464946996873402_1015053555196074,2015-08-12T15:04:33+0000,Negative,84.8920
464946996873402_1014979601870136,2015-08-12T14:07:13+0000,Negative,84.8920
464946996873402_1014979561870140,2015-08-12T14:07:06+0000,Negative,84.8920
464946996873402_1014958985205531,2015-08-12T13:13:35+0000,Neutral,56.6257
464946996873402_1014952058539557,2015-08-12T12:55:23+0000,Neutral,56.6257
464946996873402_1014952025206227,2015-08-12T12:55:17+0000,Neutral,56.6257
464946996873402_1014952008539562,2015-08-12T12:55:09+0000,Neutral,56.6257
464946996873402_1014951971872899,2015-08-12T12:55:02+0000,Neutral,56.6257
464946996873402_1014951905206239,2015-08-12T12:54:55+0000,Neutral,56.6257
464946996873402_1014951851872911,2015-08-12T12:54:48+0000,Neutral,56.6257
464946996873402_1014951768539586,2015-08-12T12:54:40+0000,Neutral,56.6257
464946996873402_1014946435206786,2015-08-12T12:44:29+0000,Neutral,56.6257
